15,3,20,9,9,15,3,8,7,5,11,6,2,17,19,12,11,19,3,7
7,19,17,14,6,18,17,14,8,20,8,9,20,18,6,8,19,3,13,11
16,14,18,6,18,20,8,10,16,17,15,10,20,20,9,11,14,15,8,4
14,18,9,2,13,17,18,17,20,3,11,19,2,3,7,10,14,14,7,17
11,7,12,13,19,8,17,15,11,19,10,5,7,5,5,19,9,8,19,3
19,13,9,12,19,20,10,15,5,8,20,13,20,2,11,14,11,9,3,14
16,9,10,15,13,9,11,6,9,19,8,11,20,3,2,14,2,6,4,18
16,20,5,3,7,17,18,2,10,15,9,6,18,20,18,6,17,7,5,10
6,15,12,14,3,3,3,6,20,3,5,19,17,18,7,2,13,17,11,4
8,2,13,2,10,8,7,16,5,4,3,11,11,18,15,11,8,13,2,14
19,16,16,10,15,20,11,12,14,12,18,17,18,19,17,7,15,11,9,8
20,14,11,9,11,3,17,20,18,8,10,3,7,6,13,19,11,2,16,2
11,3,16,15,17,2,19,2,10,9,2,6,15,17,19,19,4,15,3,7
16,5,10,14,16,12,7,8,16,2,2,2,9,10,19,4,2,4,17,18
16,14,9,5,3,3,18,14,11,4,4,18,16,3,14,11,5,18,16,18
19,17,6,2,4,13,11,17,5,12,6,16,17,10,15,18,12,8,16,7
10,5,4,18,16,11,12,11,9,9,14,13,18,4,12,9,5,13,16,2
15,15,2,8,2,4,3,8,13,10,5,9,9,8,10,17,16,18,9,16
13,4,18,13,11,13,10,9,12,10,17,5,15,14,12,9,19,17,17,7
19,15,20,7,18,17,16,8,2,3,14,9,4,9,8,11,16,5,10,2
