99,77,66,43,73,71,28,58,9,50,80,44,75,26,27,14,56,76,29,17
17,20,60,74,67,58,8,75,44,12,15,12,33,39,67,35,71,14,69,12
26,7,48,25,22,53,35,58,75,76,30,73,8,91,78,81,37,75,25,17
70,79,39,36,14,79,6,11,59,25,80,36,11,61,76,50,88,74,11,13
72,77,61,49,14,31,42,45,66,45,39,51,52,69,61,37,48,64,28,24
20,49,31,6,23,63,18,13,13,8,9,19,18,67,46,50,79,41,37,12
18,75,64,43,59,12,10,18,14,8,19,8,8,40,59,81,50,41,21,18
50,67,67,45,48,48,15,8,14,12,9,7,9,70,56,50,81,61,45,11
13,60,60,73,67,63,11,5,13,19,13,20,11,39,60,62,35,71,14,8
92,55,25,71,39,37,20,13,19,12,9,8,12,22,26,16,37,78,48,21
74,74,92,82,58,40,12,6,9,11,18,20,5,55,52,65,49,17,63,14
50,42,48,29,99,61,11,15,14,6,17,15,8,28,70,30,75,26,41,25
83,82,30,29,71,56,20,7,18,5,10,16,18,11,14,52,59,65,41,23
36,38,61,33,58,78,11,62,15,31,62,42,29,55,25,36,52,18,64,16
42,45,94,85,89,63,17,22,77,52,44,65,32,63,11,74,53,56,28,17
61,32,25,85,42,79,68,64,36,25,53,56,46,50,55,71,62,44,42,21
51,77,100,52,100,16,50,41,62,45,20,12,79,69,63,70,51,23,34,7
61,37,92,99,48,38,17,45,48,54,73,63,64,66,62,32,9,77,60,71
33,36,88,84,73,76,38,78,16,76,36,17,16,19,13,33,20,16,37,38
76,73,76,29,49,28,16,73,54,30,44,44,49,12,36,71,70,56,18,14
